,lat,lon,date
3,7.592826427270796,102.98754263666363,2022-01-23
6,-36.36486804393561,-67.07469566033362,2022-06-11
7,7.593009747605738,102.98808540056194,2022-07-07
8,7.592196976363825,102.98827038677186,2022-08-11
10,7.5928285256799475,102.98799564081249,2022-08-21
17,30.351570098239986,46.83459212808459,2022-09-07
18,-36.36496353405981,-67.07502765947473,2022-09-14
19,7.592376519946852,102.98799774355628,2022-09-15
20,7.592468179852741,102.98826912534211,2022-10-15
21,30.35183630284584,46.83490917368575,2022-10-17
22,15.56366131129608,45.79581326138566,2022-11-03
27,38.64841184332191,54.28073744666647,2022-11-05
30,31.77777291232984,5.99498002682669,2022-11-09
31,38.64984493569354,54.28103262919743,2022-11-10
32,38.331244758480125,54.02858619607342,2022-11-10
33,38.69107594794365,54.31395202408664,2022-11-10
34,31.777682814697357,5.994977120747278,2022-11-12
40,31.77786300996081,5.994982932919113,2022-11-14
42,36.47086117165109,61.73469382697424,2022-11-16
43,36.473209065726735,61.45907942316064,2022-11-16
44,36.47337344636433,61.4578484284059,2022-11-21
48,31.777865492413063,5.9948774613862215,2022-11-24
51,38.33098952983126,54.02800367534154,2022-11-25
52,38.68110463231656,54.316134943005565,2022-11-25
53,38.64844704098532,54.2826919481049,2022-11-25
56,36.55005440218841,61.56369259716386,2022-11-26
57,36.61328582420949,61.67623797846023,2022-11-26
58,31.777850596391893,5.995510290388396,2022-11-27
65,31.777860527421364,5.995088404438995,2022-12-04
66,37.9286528333794,53.91608945708437,2022-12-05
72,31.7780432052182,5.994988745142995,2022-12-07
73,15.563742599220578,45.79833153595071,2022-12-08
74,37.92847562558787,53.9159687000329,2022-12-10
75,38.6483538472573,54.28280256707723,2022-12-10
77,29.04881077422381,47.584220771513735,2022-12-11
82,15.565918588387715,45.79656801156397,2022-12-13
83,31.77779028760437,5.994241726537009,2022-12-14
84,31.74367128034204,5.898390183333727,2022-12-14
86,38.64836996092475,54.28222892311491,2022-12-15
87,38.68156424213552,54.3158113918373,2022-12-15
89,36.47520754361364,61.46026762113448,2022-12-16
90,39.97651701812369,61.6840419387001,2022-12-16
91,36.51105739055756,61.65162715106675,2022-12-16
93,31.77813082027916,5.995097123100241,2022-12-17
95,39.97797097783734,61.67722177008165,2022-12-19
98,31.776866970961635,5.995161907401567,2022-12-22
101,15.56392441082155,45.79805246345182,2022-12-23
102,39.97760455869079,61.68460661304373,2022-12-24
103,31.7776977079993,5.994344292578386,2022-12-24
104,28.431935517797715,7.514199243884381,2022-12-24
113,36.47408141778536,61.45682987566828,2022-12-26
116,31.842837885481003,6.140552009922335,2022-12-27
117,31.777767947181133,5.995190969649504,2022-12-27
119,31.777767947181133,5.995190969649504,2022-12-29
122,31.777775394773425,5.994874555395765,2023-01-01
125,15.564102842610977,45.79870595735356,2023-01-02
130,31.777855562080976,5.995299347439721,2023-01-03
133,38.64863342816109,54.282470709302174,2023-01-04
134,38.680741505351925,54.31623309388447,2023-01-04
135,38.85519066773707,54.235270666433976,2023-01-04
136,39.35972422731408,53.7649958282934,2023-01-04
138,29.144853920222893,21.455151263729974,2023-01-05
146,39.97659512332488,61.68298648753765,2023-01-08
147,31.7780432052182,5.994988745142995,2023-01-08
150,39.97696207238339,61.68356497481805,2023-01-10
151,28.43193440338402,7.514097162184487,2023-01-10
154,31.777497654331192,5.995182250838498,2023-01-11
158,31.77813082027916,5.995097123100241,2023-01-13
160,38.68056482889848,54.31611000457046,2023-01-14
161,38.64862053642966,54.28292962607803,2023-01-14
170,31.778128337626526,5.995202594913016,2023-01-16
175,39.97705879492062,61.684148651925845,2023-01-18
183,38.68102118086252,54.31590123248525,2023-01-19
184,38.33099248239397,54.02788942064204,2023-01-19
185,38.648742733236574,54.28178644228237,2023-01-19
186,38.557934706601,54.200548666215546,2023-01-19
193,31.77796055471154,5.994669424080934,2023-01-21
196,15.565153136443069,45.7966644367147,2023-01-22
200,39.86655534029958,61.35573828411857,2023-01-23
201,39.97749453806459,61.682852111731904,2023-01-23
202,39.68226613009304,60.21329634003548,2023-01-23
203,31.77778035939909,5.994663612494884,2023-01-23
211,37.928641558687936,53.91654402016122,2023-01-24
212,38.64910906055511,54.28157341709519,2023-01-24
213,38.49459497556267,54.197512230737615,2023-01-24
214,38.68091166498789,54.316585737460166,2023-01-24
215,38.8549858389535,54.2352617618725,2023-01-24
223,39.9766031039723,61.683688969596,2023-01-25
224,29.25434712686325,21.547851803904337,2023-01-25
228,31.778128337626526,5.995202594913016,2023-01-26
235,31.77804817007024,5.994777801656324,2023-01-28
240,38.85506942938286,54.235495973423234,2023-01-29
241,38.33080658165368,54.02811043291179,2023-01-29
243,31.058220891359245,26.67382276833256,2023-01-29
258,31.7782209178954,5.99510002934668,2023-01-31
264,15.563833336096875,45.798238628048,2023-02-01
287,28.606480312731897,7.514408753645196,2023-02-04
295,31.7780432052182,5.994988745142995,2023-02-05
309,26.062965838968623,50.53461604936353,2023-02-08
314,31.77803575728633,5.9953051602754135,2023-02-10
315,15.5655532802757,45.79759245087758,2023-02-11
317,39.97696473192363,61.683799136779896,2023-02-12
318,38.68110463231656,54.316134943005565,2023-02-13
319,38.85506623850984,54.235611038942544,2023-02-13
324,39.97605733671038,61.68323102234768,2023-02-14
330,31.777767947181133,5.995190969649504,2023-02-15
349,31.777955590051192,5.994880367389688,2023-02-17
356,38.68074476337823,54.316118317307925,2023-02-18
357,38.55847984322924,54.20367068977243,2023-02-18
358,38.64929544581084,54.28135217332006,2023-02-18
359,38.85590788923581,54.23449709876181,2023-02-18
382,28.909055907523488,20.9814330538816,2023-02-19
397,31.777860527421364,5.9950854982446025,2023-02-20
406,15.565368427194745,45.798710841265965,2023-02-21
429,37.92810993638835,53.91618174768142,2023-02-23
438,39.97678724184848,61.684036754767085,2023-02-24
478,38.85561245106078,54.23540539188009,2023-02-28
479,38.64834740100427,54.28303202453372,2023-02-28
480,38.49404883325326,54.19771732978502,2023-02-28
481,38.33079476992297,54.02856745034845,2023-02-28
482,38.680461829001295,54.31656495270579,2023-02-28
489,36.4731917649622,61.45774041606447,2023-03-01
490,37.95170902198765,63.5309874754121,2023-03-01
492,28.908333674948544,20.980407391458588,2023-03-01
500,37.95280129575944,63.52860502185555,2023-03-03
506,38.64863020539667,54.28258543852367,2023-03-05
507,38.560686090758665,54.21191509871178,2023-03-05
509,31.059122925947687,26.673714877635938,2023-03-05
511,36.47345635327804,61.45728872136197,2023-03-06
512,36.55024675485195,61.56469456083735,2023-03-06
513,29.145219820707503,21.453713511129777,2023-03-06
517,31.777762981683736,5.99540191242027,2023-03-07
532,37.30690759275769,94.29035263764509,2023-03-12
540,31.77786300996081,5.994982932919113,2023-03-14
549,36.47309443235538,61.45718428331066,2023-03-16
551,31.777858044794748,5.995193875945864,2023-03-17
555,15.56410216624171,45.79889247070633,2023-03-18
556,32.598422464509966,39.0352740373864,2023-03-18
558,38.85543569811594,54.235282164341854,2023-03-20
559,38.64892911883188,54.28156520015,2023-03-20
566,36.47167270873508,61.4587750105299,2023-03-21
576,31.777767947181133,5.995190969649504,2023-03-22
582,15.5640134579582,45.79842583859567,2023-03-23
598,39.97660842203957,61.68415729112383,2023-03-24
599,31.77786300996081,5.994982932919113,2023-03-24
602,39.507216821068496,53.59061373009501,2023-03-25
603,38.85489267648939,54.23537274670011,2023-03-25
604,38.55738855717148,54.20075388851004,2023-03-25
605,38.64886491901848,54.2806432538104,2023-03-25
606,31.058582605887,26.67413597207011,2023-03-25
617,36.52147971468362,61.67266640095184,2023-03-26
618,36.37338047500523,61.556915632243616,2023-03-26
633,40.04893758874556,61.04493736201613,2023-03-29
641,31.7781357853229,5.994886179435653,2023-03-29
648,26.04383818760053,50.56857722506148,2023-03-30
649,38.64871986337283,54.285806076691,2023-03-30
650,38.3306236333961,54.02821718996855,2023-03-30
651,38.85499920404168,54.2380274106342,2023-03-30
652,38.55732982866458,54.20947094012024,2023-03-30
661,36.47354358700725,61.457063766219385,2023-03-31
662,40.04920970056092,61.04504680862393,2023-03-31
668,31.777955590051192,5.994880367389688,2023-04-01
683,39.5075075854797,53.5896941577662,2023-04-04
703,36.4731917649622,61.45774041606447,2023-04-05
709,31.7782209178954,5.99510002934668,2023-04-06
717,31.7780432052182,5.994988745142995,2023-04-08
725,36.47372382602786,61.45706019280905,2023-04-10
734,15.563922721004456,45.79851874648926,2023-04-12
738,31.778133302844616,5.994991651274453,2023-04-13
743,38.55766790423229,54.20042209013849,2023-04-14
744,36.47327899957717,61.45751546217307,2023-04-15
745,39.97713690095341,61.68309319250428,2023-04-15
746,29.144945571228337,21.454740421560786,2023-04-15
749,31.77803575728633,5.9953051602754135,2023-04-16
755,15.562559291037209,45.800565146762494,2023-04-17
781,7.593095531673466,102.98708837036834,2023-04-18
797,31.7779456596844,5.995302253851062,2023-04-18
805,39.46122781096839,53.77590184957446,2023-04-19
806,37.92918727462095,53.91633809025018,2023-04-19
807,38.85489586711575,54.23525768143334,2023-04-19
808,38.5575528328729,54.2013348449776,2023-04-19
809,38.64837640560568,54.28199946540154,2023-04-19
810,38.49395572342336,54.197827841423845,2023-04-19
811,38.331076574906746,54.02812167860568,2023-04-19
821,40.04828947151399,61.04390088655427,2023-04-20
822,36.47291852142588,61.457522606737854,2023-04-20
825,29.048542249531597,47.58411141261464,2023-04-20
826,29.254077635341485,21.54754160877177,2023-04-20
827,29.145581536301314,21.453509475919603,2023-04-20
842,15.5640134579582,45.79842583859567,2023-04-22
856,7.592553125102962,102.9870908948726,2023-04-23
865,31.77768529713228,5.994871649418321,2023-04-23
872,38.85498264831694,54.23537682728377,2023-04-24
877,36.550157976805686,61.56480792742413,2023-04-25
878,36.4732818845073,61.45773863016954,2023-04-25
882,30.274697157340587,47.74274781328878,2023-04-25
884,29.14422457835141,21.454428814570363,2023-04-25
885,29.2528145268636,21.547431963758395,2023-04-25
896,31.77804072266141,5.995094216866813,2023-04-26
905,19.566050989304703,-92.23730573352132,2023-04-27
915,31.777865492413063,5.9948774613862215,2023-04-28
937,38.49261297731347,54.194214913617,2023-04-29
938,38.557860406594976,54.199971701507536,2023-04-29
939,39.507499814759726,53.59004276036055,2023-04-29
940,38.33090838939714,54.02765716319189,2023-04-29
941,37.90837660293134,53.8980027171247,2023-04-29
942,38.8551625919668,54.23538498850583,2023-04-29
943,38.64903197620059,54.2811103886688,2023-04-29
960,15.5641031807364,45.79861270067375,2023-05-02
962,19.56641324779412,-92.23749469490056,2023-05-02
963,31.777948142406853,5.995196782255236,2023-05-03
976,31.778133302844616,5.994991651274453,2023-05-06
979,15.56365118619635,45.798610956731245,2023-05-07
981,40.04905135819889,61.046340790831216,2023-05-08
984,38.64886491901848,54.2806432538104,2023-05-09
985,38.85509176232612,54.23469051427745,2023-05-09
999,15.56401176734138,45.79889212179111,2023-05-12
1000,19.56577949677449,-92.2372116781902,2023-05-12
1005,40.05129336938237,61.05108307332899,2023-05-13
1006,39.97651701812369,61.6840419387001,2023-05-13
1007,31.77582054534604,5.993650464973675,2023-05-13
1011,31.77803824001745,5.99519968857762,2023-05-16
1014,19.565334120512013,-92.23873908472451,2023-05-17
1017,31.77653388309882,5.993990112399817,2023-05-18
1024,38.85515940119672,54.23550005418788,2023-05-19
1025,39.50713976102995,53.59002938433034,2023-05-19
1026,37.92865001487089,53.91620309787736,2023-05-19
1027,37.908222165662295,53.9006122391133,2023-05-19
1028,38.65159947351463,54.279504404599706,2023-05-19
1029,38.68074476337823,54.316118317307925,2023-05-19
1030,38.33103522567321,54.0297212443816,2023-05-19
1031,38.557577924729145,54.20041809622388,2023-05-19
1032,38.64911872563413,54.281229226735206,2023-05-19
1037,39.97678591238233,61.68391967407398,2023-05-20
1038,40.05052960558709,61.048525863569694,2023-05-20
1039,39.89818444879175,61.71256231303343,2023-05-20
1045,31.77787045705607,5.994666518281404,2023-05-21
1049,39.97624147591306,61.68357880352444,2023-05-23
1050,40.04824885942422,61.0468325974252,2023-05-23
1058,38.33044659062586,54.02809543888734,2023-05-24
1059,38.85472230430759,54.235019390599504,2023-05-24
1060,37.90899550675524,53.89848190251946,2023-05-24
1061,38.648340954302085,54.2832614819168,2023-05-24
1062,26.062243802486968,50.534718875357065,2023-05-24
1067,36.47310164541567,61.45774220195147,2023-05-25
1068,39.9766031039723,61.683688969596,2023-05-25
1083,37.90808415731165,53.89890100390177,2023-05-29
1084,38.33115180752372,54.02869670177599,2023-05-29
1085,38.85552566994316,54.23528624489043,2023-05-29
1089,39.976514359098495,61.68380777824345,2023-05-30
1090,36.47354502995574,61.457175350569166,2023-05-30
1091,36.55060455610181,61.56446449284043,2023-05-30
1111,25.13253250917832,47.36283441874594,2023-06-01
1124,38.33089067374432,54.02834269049329,2023-06-03
1125,38.85410526132938,54.23453057412116,2023-06-03
1126,38.55739796571764,54.20041010844813,2023-06-03
1127,38.64904163990117,54.28076619851776,2023-06-03
1128,38.68005633230921,54.3181551805442,2023-06-03
1143,39.97624945291271,61.68428128212912,2023-06-04
1144,36.47309298943048,61.45707269960632,2023-06-04
1145,36.54996427946044,61.56369426505319,2023-06-04
1146,40.048013400705656,61.04355711593879,2023-06-04
1148,29.252994609717344,21.54753584118936,2023-06-04
1149,27.718585941207888,9.88112082141817,2023-06-04
1192,30.362898088259428,49.88030794565181,2023-06-06
1193,25.132534090458307,47.36273529829737,2023-06-06
1230,31.777955590051192,5.994880367389688,2023-06-07
1235,26.036867098567416,50.5625056713028,2023-06-08
1248,36.55024675485195,61.56469456083735,2023-06-09
1253,31.7775001369231,5.995076779739497,2023-06-10
1261,25.13253092783212,47.36293353918612,2023-06-11
1262,30.17741185505049,50.41262931014118,2023-06-11
1263,30.363174997257637,49.88103317149773,2023-06-11
1269,39.97888908359442,61.67872649137456,2023-06-12
1273,31.163655526151967,5.966663905601066,2023-06-12
1274,31.7779456596844,5.995302253851062,2023-06-12
1280,26.04592805282037,50.57296779673708,2023-06-13
1281,38.65192330292175,54.28721625712432,2023-06-13
1282,38.85508857224507,54.23480557992441,2023-06-13
1283,38.68283552917327,54.31862845234168,2023-06-13
1284,38.33061182129671,54.02867420621105,2023-06-13
1285,37.92855154563889,53.91654046134104,2023-06-13
1307,36.47282840188445,61.45752439285921,2023-06-14
1308,36.43444929403751,61.4874007379985,2023-06-14
1309,36.42748100683167,61.47816598063539,2023-06-14
1310,36.49349463241782,61.6853134602487,2023-06-14
1311,36.550157976805686,61.56480792742413,2023-06-14
1312,40.0479352286485,61.04426268016726,2023-06-14
1314,29.14621088295944,21.454231929157547,2023-06-14
1333,31.777948142406853,5.995196782255236,2023-06-15
1339,30.361544730870232,49.880323363540285,2023-06-16
1340,27.721664661226512,9.879623974651285,2023-06-16
1351,28.606480312731897,7.514408753645196,2023-06-17
1352,31.7773373172461,5.994332670838045,2023-06-17
1357,38.493915794901774,54.19599197015186,2023-06-18
1358,37.92918445583884,53.9164517318406,2023-06-18
1359,38.64854668001584,54.28235187067124,2023-06-18
1360,37.71161577274863,53.937044708193845,2023-06-18
1361,38.557407373256176,54.20006632822578,2023-06-18
1362,38.85466270161002,54.22741284775695,2023-06-18
1364,40.04928787708641,61.04434123188962,2023-06-19
1365,36.47139248322555,61.73379227981335,2023-06-19
1366,36.47148290048828,61.46502893323767,2023-06-19
1367,39.97678192327461,61.68356843204133,2023-06-19
1417,31.7780432052182,5.994988745142995,2023-06-20
1435,25.13261957858718,47.36303439684685,2023-06-21
1443,39.9766931785346,61.68368724115744,2023-06-22
1444,40.049023677659775,61.04470045497456,2023-06-22
1450,31.77786300996081,5.994982932919113,2023-06-22
1453,38.85526532577876,54.23492880565559,2023-06-23
1454,38.49821531210176,54.20019447431605,2023-06-23
1455,38.55757478863898,54.20053268988049,2023-06-23
1456,38.64914771480725,54.28019665466486,2023-06-23
1465,40.04868524958249,61.04599957843333,2023-06-24
1466,36.471569612904304,61.45777256081638,2023-06-24
1471,27.720945111776157,9.87921244324311,2023-06-24
1489,31.77796055471154,5.994669424080934,2023-06-25
1506,27.720763935454997,9.87931242885657,2023-06-26
1512,40.04929183361799,61.04457556629889,2023-06-27
1519,38.64622032704005,54.28178613124339,2023-06-28
1520,37.907830914289896,53.898208736698834,2023-06-28
1542,40.04875749934542,61.04494250895488,2023-06-29
1543,36.47255804325155,61.45752975117568,2023-06-29
1545,28.07505586341807,9.807684903884695,2023-06-29
1546,28.08837530023172,9.783458253689396,2023-06-29
1547,28.09210623109818,9.762109949055324,2023-06-29
1548,27.720853556929004,9.879414586913152,2023-06-29
1550,32.4341258016536,-101.83073466206552,2023-06-29
1562,38.6616965913989,64.77471189569724,2023-07-01
1563,30.995984324411555,49.94996040127854,2023-07-01
1564,15.563830293023685,45.79907793706684,2023-07-01
1565,25.1321747428869,47.36262923017179,2023-07-01
1568,39.68135039450502,60.213836739716406,2023-07-02
1576,38.64862375953096,54.2828148969116,2023-07-03
1577,38.68073173059855,54.31657742350273,2023-07-03
1578,39.46141058525158,53.77579289901122,2023-07-03
1580,40.04885743137043,61.04552576804118,2023-07-04
1581,36.47327899957717,61.45751546217307,2023-07-04
1582,36.42160037615589,61.476496142259336,2023-07-04
1586,25.13253725281968,47.36253705737509,2023-07-06
1587,39.45883343458407,53.781849711183234,2023-07-06
1588,31.778033274468022,5.995410631960196,2023-07-07
1594,38.85490862848983,54.23479742018392,2023-07-08
1595,39.46151722384311,53.77509983676616,2023-07-08
1596,39.50741239167749,53.58992321563033,2023-07-08
1597,38.493782020065424,54.197590892567696,2023-07-08
1598,38.64866887115832,54.28120868665496,2023-07-08
1599,38.68021799064889,54.31563427626365,2023-07-08
1604,36.4733691191114,61.457513676012034,2023-07-09
1605,36.42205667337043,61.47693338448504,2023-07-09
1609,31.77731994166488,5.995070967467819,2023-07-10
1617,30.995155323022114,49.94787477179351,2023-07-11
1618,39.46225663410876,53.77431569698542,2023-07-11
1619,30.17741185505049,50.41262931014118,2023-07-11
1620,25.132717717217908,47.3625405311143,2023-07-11
1622,19.56659920597421,-92.23873314586528,2023-07-11
1624,39.976783253095405,61.6836855127111,2023-07-12
1625,31.777762981683736,5.99540191242027,2023-07-12
1631,36.47372382602786,61.45706019280905,2023-07-14
1632,39.97624812370832,61.684164202342224,2023-07-14
1635,31.778398630444677,5.995211313997279,2023-07-15
1641,30.99515788229995,49.94818895056225,2023-07-16
1642,19.56632207894948,-92.23730445850104,2023-07-16
1646,31.77839118188567,5.995527730275263,2023-07-17
