mgrs,season,date,region,Unnamed: 0
17SKD,spring,2023-03-21,marcellus,
17SKD,summer,2023-06-21,marcellus,
17SKD,fall,2023-09-21,marcellus,
17SKD,winter,2023-12-21,marcellus,
16SGJ,spring,2023-03-21,marcellus,
16SGJ,summer,2023-06-21,marcellus,
16SGJ,fall,2023-09-21,marcellus,
16SGJ,winter,2023-12-21,marcellus,
17SKC,spring,2023-03-21,marcellus,
17SKC,summer,2023-06-21,marcellus,
17SKC,fall,2023-09-21,marcellus,
17SKC,winter,2023-12-21,marcellus,
16SGH,spring,2023-03-21,marcellus,
16SGH,summer,2023-06-21,marcellus,
16SGH,fall,2023-09-21,marcellus,
16SGH,winter,2023-12-21,marcellus,
17SKB,spring,2023-03-21,marcellus,
17SKB,summer,2023-06-21,marcellus,
17SKB,fall,2023-09-21,marcellus,
17SKB,winter,2023-12-21,marcellus,
16SGG,spring,2023-03-21,marcellus,
16SGG,summer,2023-06-21,marcellus,
16SGG,fall,2023-09-21,marcellus,
16SGG,winter,2023-12-21,marcellus,
16SFJ,spring,2023-03-21,marcellus,
16SFJ,summer,2023-06-21,marcellus,
16SFJ,fall,2023-09-21,marcellus,
16SFJ,winter,2023-12-21,marcellus,
16SFH,spring,2023-03-21,marcellus,
16SFH,summer,2023-06-21,marcellus,
16SFH,fall,2023-09-21,marcellus,
16SFH,winter,2023-12-21,marcellus,
17SKV,spring,2023-03-21,marcellus,
17SKV,summer,2023-06-21,marcellus,
17SKV,fall,2023-09-21,marcellus,
17SKV,winter,2023-12-21,marcellus,
16SFG,spring,2023-03-21,marcellus,
16SFG,summer,2023-06-21,marcellus,
16SFG,fall,2023-09-21,marcellus,
16SFG,winter,2023-12-21,marcellus,
16SGE,spring,2023-03-21,marcellus,
16SGE,summer,2023-06-21,marcellus,
16SGE,fall,2023-09-21,marcellus,
16SGE,winter,2023-12-21,marcellus,
16SFF,spring,2023-03-21,marcellus,
16SFF,summer,2023-06-21,marcellus,
16SFF,fall,2023-09-21,marcellus,
16SFF,winter,2023-12-21,marcellus,
17SKU,spring,2023-03-21,marcellus,
17SKU,summer,2023-06-21,marcellus,
17SKU,fall,2023-09-21,marcellus,
17SKU,winter,2023-12-21,marcellus,
16SEJ,spring,2023-03-21,marcellus,
16SEJ,summer,2023-06-21,marcellus,
16SEJ,fall,2023-09-21,marcellus,
16SEJ,winter,2023-12-21,marcellus,
16SEH,spring,2023-03-21,marcellus,
16SEH,summer,2023-06-21,marcellus,
16SEH,fall,2023-09-21,marcellus,
16SEH,winter,2023-12-21,marcellus,
16SGD,spring,2023-03-21,marcellus,
16SGD,summer,2023-06-21,marcellus,
16SGD,fall,2023-09-21,marcellus,
16SGD,winter,2023-12-21,marcellus,
16SFE,spring,2023-03-21,marcellus,
16SFE,summer,2023-06-21,marcellus,
16SFE,fall,2023-09-21,marcellus,
16SFE,winter,2023-12-21,marcellus,
16SEG,spring,2023-03-21,marcellus,
16SEG,summer,2023-06-21,marcellus,
16SEG,fall,2023-09-21,marcellus,
16SEG,winter,2023-12-21,marcellus,
17SKT,spring,2023-03-21,marcellus,
17SKT,summer,2023-06-21,marcellus,
17SKT,fall,2023-09-21,marcellus,
17SKT,winter,2023-12-21,marcellus,
16SEF,spring,2023-03-21,marcellus,
16SEF,summer,2023-06-21,marcellus,
16SEF,fall,2023-09-21,marcellus,
16SEF,winter,2023-12-21,marcellus,
16SFD,spring,2023-03-21,marcellus,
16SFD,summer,2023-06-21,marcellus,
16SFD,fall,2023-09-21,marcellus,
16SFD,winter,2023-12-21,marcellus,
16SGC,spring,2023-03-21,marcellus,
16SGC,summer,2023-06-21,marcellus,
16SGC,fall,2023-09-21,marcellus,
16SGC,winter,2023-12-21,marcellus,
16SDJ,spring,2023-03-21,marcellus,
16SDJ,summer,2023-06-21,marcellus,
16SDJ,fall,2023-09-21,marcellus,
16SDJ,winter,2023-12-21,marcellus,
16SDH,spring,2023-03-21,marcellus,
16SDH,summer,2023-06-21,marcellus,
16SDH,fall,2023-09-21,marcellus,
16SDH,winter,2023-12-21,marcellus,
16SEE,spring,2023-03-21,marcellus,
16SEE,summer,2023-06-21,marcellus,
16SEE,fall,2023-09-21,marcellus,
16SEE,winter,2023-12-21,marcellus,
17SKS,spring,2023-03-21,marcellus,
17SKS,summer,2023-06-21,marcellus,
17SKS,fall,2023-09-21,marcellus,
17SKS,winter,2023-12-21,marcellus,
16SDG,spring,2023-03-21,marcellus,
16SDG,summer,2023-06-21,marcellus,
16SDG,fall,2023-09-21,marcellus,
16SDG,winter,2023-12-21,marcellus,
16SFC,spring,2023-03-21,marcellus,
16SFC,summer,2023-06-21,marcellus,
16SFC,fall,2023-09-21,marcellus,
16SFC,winter,2023-12-21,marcellus,
16SGB,spring,2023-03-21,marcellus,
16SGB,summer,2023-06-21,marcellus,
16SGB,fall,2023-09-21,marcellus,
16SGB,winter,2023-12-21,marcellus,
16SDF,spring,2023-03-21,marcellus,
16SDF,summer,2023-06-21,marcellus,
16SDF,fall,2023-09-21,marcellus,
16SDF,winter,2023-12-21,marcellus,
16SED,spring,2023-03-21,marcellus,
16SED,summer,2023-06-21,marcellus,
16SED,fall,2023-09-21,marcellus,
16SED,winter,2023-12-21,marcellus,
16SDE,spring,2023-03-21,marcellus,
16SDE,summer,2023-06-21,marcellus,
16SDE,fall,2023-09-21,marcellus,
16SDE,winter,2023-12-21,marcellus,
17SKR,spring,2023-03-21,marcellus,
17SKR,summer,2023-06-21,marcellus,
17SKR,fall,2023-09-21,marcellus,
17SKR,winter,2023-12-21,marcellus,
16SCJ,spring,2023-03-21,marcellus,
16SCJ,summer,2023-06-21,marcellus,
16SCJ,fall,2023-09-21,marcellus,
16SCJ,winter,2023-12-21,marcellus,
16SFB,spring,2023-03-21,marcellus,
16SFB,summer,2023-06-21,marcellus,
16SFB,fall,2023-09-21,marcellus,
16SFB,winter,2023-12-21,marcellus,
16SCH,spring,2023-03-21,marcellus,
16SCH,summer,2023-06-21,marcellus,
16SCH,fall,2023-09-21,marcellus,
16SCH,winter,2023-12-21,marcellus,
16SEC,spring,2023-03-21,marcellus,
16SEC,summer,2023-06-21,marcellus,
16SEC,fall,2023-09-21,marcellus,
16SEC,winter,2023-12-21,marcellus,
16SGA,spring,2023-03-21,marcellus,
16SGA,summer,2023-06-21,marcellus,
16SGA,fall,2023-09-21,marcellus,
16SGA,winter,2023-12-21,marcellus,
16SCG,spring,2023-03-21,marcellus,
16SCG,summer,2023-06-21,marcellus,
16SCG,fall,2023-09-21,marcellus,
16SCG,winter,2023-12-21,marcellus,
16SDD,spring,2023-03-21,marcellus,
16SDD,summer,2023-06-21,marcellus,
16SDD,fall,2023-09-21,marcellus,
16SDD,winter,2023-12-21,marcellus,
16SCF,spring,2023-03-21,marcellus,
16SCF,summer,2023-06-21,marcellus,
16SCF,fall,2023-09-21,marcellus,
16SCF,winter,2023-12-21,marcellus,
17RKQ,spring,2023-03-21,marcellus,
17RKQ,summer,2023-06-21,marcellus,
17RKQ,fall,2023-09-21,marcellus,
17RKQ,winter,2023-12-21,marcellus,
16SEB,spring,2023-03-21,marcellus,
16SEB,summer,2023-06-21,marcellus,
16SEB,fall,2023-09-21,marcellus,
16SEB,winter,2023-12-21,marcellus,
16SFA,spring,2023-03-21,marcellus,
16SFA,summer,2023-06-21,marcellus,
16SFA,fall,2023-09-21,marcellus,
16SFA,winter,2023-12-21,marcellus,
16SCE,spring,2023-03-21,marcellus,
16SCE,summer,2023-06-21,marcellus,
16SCE,fall,2023-09-21,marcellus,
16SCE,winter,2023-12-21,marcellus,
16SDC,spring,2023-03-21,marcellus,
16SDC,summer,2023-06-21,marcellus,
16SDC,fall,2023-09-21,marcellus,
16SDC,winter,2023-12-21,marcellus,
16RGV,spring,2023-03-21,marcellus,
16RGV,summer,2023-06-21,marcellus,
16RGV,fall,2023-09-21,marcellus,
16RGV,winter,2023-12-21,marcellus,
16SBJ,spring,2023-03-21,marcellus,
16SBJ,summer,2023-06-21,marcellus,
16SBJ,fall,2023-09-21,marcellus,
16SBJ,winter,2023-12-21,marcellus,
16SBH,spring,2023-03-21,marcellus,
16SBH,summer,2023-06-21,marcellus,
16SBH,fall,2023-09-21,marcellus,
16SBH,winter,2023-12-21,marcellus,
15SYD,spring,2023-03-21,marcellus,
15SYD,summer,2023-06-21,marcellus,
15SYD,fall,2023-09-21,marcellus,
15SYD,winter,2023-12-21,marcellus,
16SCD,spring,2023-03-21,marcellus,
16SCD,summer,2023-06-21,marcellus,
16SCD,fall,2023-09-21,marcellus,
16SCD,winter,2023-12-21,marcellus,
16SBG,spring,2023-03-21,marcellus,
16SBG,summer,2023-06-21,marcellus,
16SBG,fall,2023-09-21,marcellus,
16SBG,winter,2023-12-21,marcellus,
16SEA,spring,2023-03-21,marcellus,
16SEA,summer,2023-06-21,marcellus,
16SEA,fall,2023-09-21,marcellus,
16SEA,winter,2023-12-21,marcellus,
31RFN,spring,2019-03-21,hassi,
31RFN,summer,2019-06-21,hassi,
31RFN,fall,2019-09-21,hassi,
31RFN,winter,2019-12-21,hassi,
31RFP,spring,2019-03-21,hassi,
31RFP,summer,2019-06-21,hassi,
31RFP,fall,2019-09-21,hassi,
31RFP,winter,2019-12-21,hassi,
31RGN,spring,2019-03-21,hassi,
31RGN,summer,2019-06-21,hassi,
31RGN,fall,2019-09-21,hassi,
31RGN,winter,2019-12-21,hassi,
13SDT,spring,2023-03-21,permian,0.0
13SDT,summer,2023-06-21,permian,1.0
13SDT,fall,2023-09-21,permian,2.0
13SDT,winter,2023-12-21,permian,3.0
13SET,spring,2023-03-21,permian,4.0
13SET,summer,2023-06-21,permian,5.0
13SET,fall,2023-09-21,permian,6.0
13SET,winter,2023-12-21,permian,7.0
13SDS,spring,2023-03-21,permian,8.0
13SDS,summer,2023-06-21,permian,9.0
13SDS,fall,2023-09-21,permian,10.0
13SDS,winter,2023-12-21,permian,11.0
13SDR,spring,2023-03-21,permian,12.0
13SDR,summer,2023-06-21,permian,13.0
13SDR,fall,2023-09-21,permian,14.0
13SDR,winter,2023-12-21,permian,15.0
13RDQ,spring,2023-03-21,permian,16.0
13RDQ,summer,2023-06-21,permian,17.0
13RDQ,fall,2023-09-21,permian,18.0
13RDQ,winter,2023-12-21,permian,19.0
13REQ,spring,2023-03-21,permian,20.0
13REQ,summer,2023-06-21,permian,21.0
13REQ,fall,2023-09-21,permian,22.0
13REQ,winter,2023-12-21,permian,23.0
13REP,spring,2023-03-21,permian,24.0
13REP,summer,2023-06-21,permian,25.0
13REP,fall,2023-09-21,permian,26.0
13REP,winter,2023-12-21,permian,27.0
13RFP,spring,2023-03-21,permian,28.0
13RFP,summer,2023-06-21,permian,29.0
13RFP,fall,2023-09-21,permian,30.0
13RFP,winter,2023-12-21,permian,31.0
13RGN,spring,2023-03-21,permian,32.0
13RGN,summer,2023-06-21,permian,33.0
13RGN,fall,2023-09-21,permian,34.0
13RGN,winter,2023-12-21,permian,35.0
14RKT,spring,2023-03-21,permian,36.0
14RKT,summer,2023-06-21,permian,37.0
14RKT,fall,2023-09-21,permian,38.0
14RKT,winter,2023-12-21,permian,39.0
13SDU,spring,2023-03-21,permian,40.0
13SDU,summer,2023-06-21,permian,41.0
13SDU,fall,2023-09-21,permian,42.0
13SDU,winter,2023-12-21,permian,43.0
13SEU,spring,2023-03-21,permian,44.0
13SEU,summer,2023-06-21,permian,45.0
13SEU,fall,2023-09-21,permian,46.0
13SEU,winter,2023-12-21,permian,47.0
13SFU,spring,2023-03-21,permian,48.0
13SFU,summer,2023-06-21,permian,49.0
13SFU,fall,2023-09-21,permian,50.0
13SFU,winter,2023-12-21,permian,51.0
14SKD,spring,2023-03-21,permian,52.0
14SKD,summer,2023-06-21,permian,53.0
14SKD,fall,2023-09-21,permian,54.0
14SKD,winter,2023-12-21,permian,55.0
14SLD,spring,2023-03-21,permian,56.0
14SLD,summer,2023-06-21,permian,57.0
14SLD,fall,2023-09-21,permian,58.0
14SLD,winter,2023-12-21,permian,59.0
14SMD,spring,2023-03-21,permian,60.0
14SMD,summer,2023-06-21,permian,61.0
14SMD,fall,2023-09-21,permian,62.0
14SMD,winter,2023-12-21,permian,63.0
14SND,spring,2023-03-21,permian,64.0
14SND,summer,2023-06-21,permian,65.0
14SND,fall,2023-09-21,permian,66.0
14SND,winter,2023-12-21,permian,67.0
14SNC,spring,2023-03-21,permian,68.0
14SNC,summer,2023-06-21,permian,69.0
14SNC,fall,2023-09-21,permian,70.0
14SNC,winter,2023-12-21,permian,71.0
14SNB,spring,2023-03-21,permian,72.0
14SNB,summer,2023-06-21,permian,73.0
14SNB,fall,2023-09-21,permian,74.0
14SNB,winter,2023-12-21,permian,75.0
14SMC,spring,2023-03-21,permian,76.0
14SMC,summer,2023-06-21,permian,77.0
14SMC,fall,2023-09-21,permian,78.0
14SMC,winter,2023-12-21,permian,79.0
14SMB,spring,2023-03-21,permian,80.0
14SMB,summer,2023-06-21,permian,81.0
14SMB,fall,2023-09-21,permian,82.0
14SMB,winter,2023-12-21,permian,83.0
13SGU,spring,2023-03-21,permian,84.0
13SGU,summer,2023-06-21,permian,85.0
13SGU,fall,2023-09-21,permian,86.0
13SGU,winter,2023-12-21,permian,87.0
14SLE,spring,2023-03-21,permian,88.0
14SLE,summer,2023-06-21,permian,89.0
14SLE,fall,2023-09-21,permian,90.0
14SLE,winter,2023-12-21,permian,91.0
